train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,time/fps
0.0003,334.33,2939,33.1397853,-6.462413311004639,64991,0.009840411134064198,65092,0.12613341212272644,-0.8011972904205322,184,22
0.0003,331.89,3001,33.44950162999999,-6.180606365203857,66317,0.00940626859664917,66418,0.07710614800453186,0.5029388666152954,188,22
0.0003,325.1,3040,32.802252179999996,-6.264448165893555,67157,0.009369833394885063,67258,0.4083060920238495,0.06441862881183624,192,22
0.0003,323.23,3091,33.10074788,-6.302829742431641,68251,0.009402353316545486,68352,0.08483923971652985,-0.5599880218505859,196,22
0.0003,319.64,3143,33.243792289999995,-6.201881408691406,69362,0.00939081609249115,69463,0.5451561212539673,1.1978907585144043,200,22
0.0003,315.01,3193,33.43618288,-6.457732200622559,70427,0.009291740134358406,70528,0.4010729193687439,-2.721428871154785,204,22
0.0003,312.82,3244,33.35243381,-5.954657077789307,71510,0.009316735900938511,71611,0.05437251180410385,0.15705500543117523,208,22
0.0003,308.45,3299,32.78742377,-6.397858142852783,72695,0.009179018437862396,72796,0.36727195978164673,-0.09172855317592621,212,22
0.0003,304.74,3356,32.97945157000001,-5.765688419342041,73904,0.009351707063615322,74005,0.09045949578285217,0.8224601149559021,216,22
0.0003,300.95,3407,32.411165329999996,-5.9735307693481445,74971,0.009629552252590656,75072,0.07641048729419708,-0.20070958137512207,220,22
0.0003,301.32,3475,32.79315181,-6.091785430908203,76409,0.009204795584082603,76510,0.06429658085107803,0.6917967796325684,224,22
0.0003,292.9,3518,32.56550414,-6.090733528137207,77325,0.009210911579430103,77426,0.08675876259803772,-1.8400040864944458,228,22
0.0003,290.19,3565,32.51338822,-6.1486101150512695,78340,0.00947318784892559,78441,0.3576253056526184,0.8927422165870667,232,21
0.0003,291.15,3625,32.75668876,-5.924880027770996,79609,0.009419445879757404,79710,0.2907588481903076,-0.4219070076942444,236,21
0.0003,291.97,3678,32.79826573,-6.089926719665527,80734,0.00884518213570118,80835,0.4933907389640808,-0.4568652808666229,240,21
0.0003,289.58,3740,32.75856526,-5.790033340454102,82039,0.008908309042453766,82140,0.16268911957740784,-0.5621857643127441,244,21
0.0003,290.1,3786,33.030606580000004,-6.224364280700684,83013,0.009284574538469315,83114,0.09284988045692444,-0.24619416892528534,248,21
0.0003,290.38,3842,32.98235603999999,-6.310770034790039,84200,0.00895954854786396,84301,0.11033821105957031,-0.8665577173233032,252,21
0.0003,293.31,3906,33.31881256,-5.782153606414795,85553,0.009291660971939564,85654,0.17267002165317535,-1.104917287826538,256,21
0.0003,296.08,3969,33.80274118,-6.084827899932861,86889,0.00945207104086876,86990,0.4794556498527527,-0.6298505663871765,260,21
0.0003,294.63,4020,33.44219042,-6.073729515075684,87961,0.009571080096065998,88062,0.586024284362793,-0.0723867416381836,264,21
0.0003,287.18,4060,32.57850558999999,-5.950720310211182,88813,0.009130737744271755,88914,0.3601941466331482,0.9455371499061584,268,21
0.0003,285.83,4112,32.54104703,-6.196491718292236,89893,0.009148038923740387,89994,0.08554746210575104,0.49963533878326416,272,21
0.0003,286.08,4167,32.873346139999995,-5.683161735534668,91052,0.008530589751899242,91153,0.22871199250221252,-0.4264449179172516,276,21
0.0003,282.35,4216,32.444802669999994,-5.726921558380127,92085,0.007947945967316628,92186,0.4066976010799408,1.5903841257095337,280,21
0.0003,285.54,4285,32.88889753,-6.161456108093262,93545,0.0076544033363461494,93646,0.25272122025489807,-0.674235999584198,284,21
0.0003,281.74,4329,32.07566524,-5.933464527130127,94491,0.00806612428277731,94592,0.1651453822851181,0.34619298577308655,288,21
0.0003,284.18,4381,32.280257979999995,-5.759304523468018,95575,0.008008254691958427,95676,0.07915936410427094,0.9128663539886475,292,21
0.0003,285.55,4440,32.3321776,-6.216444969177246,96806,0.008772824890911579,96907,0.2643343210220337,0.549250602722168,296,21
0.0003,285.31,4492,32.18737749,-6.205591201782227,97893,0.00858370028436184,97994,0.1673729121685028,0.7795422077178955,300,21
0.0003,290.44,4567,32.553542979999996,-6.127406597137451,99471,0.00917463842779398,99572,0.23993685841560364,0.168124720454216,304,21
0.0003,292.25,4626,33.032978549999996,-6.121234893798828,100735,0.009082654491066933,100836,0.1727476716041565,1.9511046409606934,308,21
0.0003,292.45,4684,33.24898032,-5.903812408447266,101940,0.00950902234762907,102041,0.30234694480895996,0.13047105073928833,312,21
0.0003,291.29,4736,32.50435027,-5.8937482833862305,103033,0.009018244221806526,103134,0.22627463936805725,0.9779016375541687,316,21
0.0003,292.16,4790,32.709502990000004,-5.864166259765625,104187,0.00899549014866352,104288,0.2877599596977234,0.12424957007169724,320,21
0.0003,289.47,4844,32.442627220000006,-5.911226749420166,105356,0.009424091316759586,105457,0.3300403356552124,-0.12782034277915955,324,21
0.0003,290.86,4894,32.61468035000001,-5.968273639678955,106411,0.009428258053958416,106512,0.17888635396957397,-0.4346481263637543,328,21
0.0003,291.1,4943,32.68245944,-6.148301601409912,107450,0.00927091296762228,107551,0.3601948022842407,1.0883740186691284,332,21
0.0003,290.28,4998,32.48247800000001,-5.98341703414917,108637,0.009169166907668114,108738,0.20366162061691284,-0.05047556757926941,336,21
0.0003,287.27,5037,32.10312295999999,-6.132094860076904,109461,0.008926176466047764,109562,0.08062732964754105,2.453049421310425,340,21
