time/fps,time/total_timesteps,time/time_elapsed,train/critic_loss,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/episodes,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,train/n_updates
14,51936,3688,0.007965963333845139,0.0014573235530406237,-1.8179014921188354,271.4,184,0.0003,-1.8429542779922485,6.396558050000002,51835
14,53278,3781,0.0024184701032936573,0.0013345977058634162,0.46800923347473145,270.34,188,0.0003,-1.5931921005249023,6.50311742,53177
14,54617,3871,0.005184622947126627,0.001307958853431046,4.600337982177734,273.47,192,0.0003,-1.5205849409103394,6.666909960000001,54516
14,55751,3949,0.009613024070858955,0.0012500380398705602,-1.3996036052703857,273.83,196,0.0003,-1.748964548110962,6.806673260000001,55650
14,56719,4015,0.004381375387310982,0.0012590470723807812,0.802793562412262,272.05,200,0.0003,-1.593979835510254,6.81881955,56618
14,57616,4076,0.01126844435930252,0.001442701555788517,0.9204816222190857,268.4,204,0.0003,-1.4986774921417236,6.879041610000001,57515
14,58593,4143,0.007663221098482609,0.0015362597769126296,0.6181988716125488,267.95,208,0.0003,-1.4543161392211914,6.90925571,58492
14,59692,4217,0.014930114150047302,0.0015963449841365218,1.0765810012817383,269.49,212,0.0003,-1.2851345539093018,6.94570192,59591
14,60565,4276,0.006341216154396534,0.0014841717202216387,0.6460487842559814,272.18,216,0.0003,-1.367429494857788,7.004153760000001,60464
14,61634,4348,0.00451833987608552,0.0013128683203831315,-0.9974660873413086,272.58,220,0.0003,-1.4825592041015625,7.0020720700000005,61533
14,62569,4412,0.00226527894847095,0.0012260728981345892,0.5914536714553833,268.86,224,0.0003,-1.2617835998535156,6.920135650000001,62468
14,63578,4480,0.007043439894914627,0.0013182902475818992,1.4440034627914429,265.85,228,0.0003,-1.3548833131790161,6.856135429999999,63477
14,64537,4544,0.0019816793501377106,0.0013087292900308967,-1.0232758522033691,261.32,232,0.0003,-1.3795775175094604,6.761037500000001,64436
14,65655,4617,0.009141448885202408,0.001334833214059472,0.031854093074798584,255.76,236,0.0003,-1.4098577499389648,6.76001215,65554
14,66769,4690,0.009617180563509464,0.0012572562554851174,-0.5422376394271851,253.49,240,0.0003,-1.3437793254852295,6.746866969999998,66668
14,67627,4747,0.008067267946898937,0.0011874205665662885,-0.34164753556251526,249.03,244,0.0003,-1.4063514471054077,6.685724039999999,67526
14,68356,4795,0.004636708181351423,0.001144924433901906,2.428163528442383,246.61,248,0.0003,-1.297023057937622,6.6975325099999985,68255
14,69395,4863,0.006345367059111595,0.0011275552678853273,0.1796465814113617,246.11,252,0.0003,-1.2495936155319214,6.75800566,69294
14,70277,4922,0.0023973039351403713,0.0011130772763863206,-0.5101805329322815,247.57,256,0.0003,-1.2812105417251587,6.810816410000001,70176
14,71487,5002,0.0024426935706287622,0.0011271149851381779,-0.9114887714385986,251.15,260,0.0003,-1.356809377670288,6.980103159999998,71386
14,72407,5064,0.012558169662952423,0.0011814311146736145,-1.4207582473754883,252.61,264,0.0003,-1.338523268699646,7.027712079999999,72306
14,73432,5132,0.006330063566565514,0.0011745176743716002,-1.2381407022476196,254.44,268,0.0003,-1.3928302526474,7.08057183,73331
14,74362,5195,0.0037636253982782364,0.0010865186341106892,2.346020460128784,253.66,272,0.0003,-1.2467544078826904,7.068314049999999,74261
14,75623,5280,0.007775604724884033,0.0010739974677562714,2.4814529418945312,258.07,276,0.0003,-1.3095684051513672,7.241424899999999,75522
14,76653,5349,0.011264617554843426,0.0010930427815765142,4.95294189453125,258.96,280,0.0003,-1.2822694778442383,7.326623569999999,76552
14,77581,5416,0.004242409020662308,0.001094628358259797,-1.5674769878387451,256.45,284,0.0003,-1.2610723972320557,7.31836884,77480
14,78464,5477,0.009296497330069542,0.001089943340048194,-0.38633376359939575,251.86,288,0.0003,-1.3277063369750977,7.225793569999999,78363
14,79334,5536,0.00577921187505126,0.0010110988514497876,0.46151843667030334,247.17,292,0.0003,-1.3789311647415161,7.1371489200000005,79233
14,80220,5596,0.010462678968906403,0.0009813823271542788,-0.13719229400157928,244.69,296,0.0003,-1.372606873512268,7.00697344,80119
14,81290,5668,0.0027618571184575558,0.0009951384272426367,-1.2596776485443115,245.71,300,0.0003,-1.3407914638519287,7.077132220000001,81189
14,82263,5733,0.002374777104705572,0.0010300857247784734,-0.2196802943944931,246.47,304,0.0003,-1.4055830240249634,7.05858765,82162
14,83413,5810,0.007907114923000336,0.0010064032394438982,-0.048191964626312256,248.2,308,0.0003,-1.4221017360687256,7.1491760499999994,83312
14,84432,5879,0.003550794906914234,0.0010481608333066106,-0.196510449051857,247.4,312,0.0003,-1.428139090538025,7.107509940000001,84331
14,85526,5952,0.006739083211869001,0.0010780226439237595,0.1837179958820343,249.61,316,0.0003,-1.3798627853393555,7.16971442,85425
14,86462,6016,0.005823146551847458,0.0010744861792773008,0.9020676612854004,248.28,320,0.0003,-1.3659543991088867,7.1484073499999985,86361
14,87433,6081,0.013316582888364792,0.0009867772459983826,-1.1269718408584595,248.64,324,0.0003,-1.4071749448776245,7.153941280000001,87332
14,88437,6150,0.004094741307199001,0.0009915902046486735,-0.6099414825439453,248.59,328,0.0003,-1.4648116827011108,7.159565190000002,88336
14,89599,6227,0.0078114112839102745,0.0009586302912794054,-4.923521041870117,250.62,332,0.0003,-1.4615575075149536,7.211827469999999,89498
14,90546,6291,0.0053835101425647736,0.0009909662185236812,-0.38667455315589905,248.91,336,0.0003,-1.4570125341415405,7.147488349999999,90445
14,91742,6371,0.006567021831870079,0.000979089643806219,-1.7079519033432007,249.73,340,0.0003,-1.4992859363555908,7.15998112,91641
14,92853,6444,0.010262036696076393,0.0010104766115546227,0.765791118144989,252.26,344,0.0003,-1.478257417678833,7.219478840000001,92752
14,93943,6518,0.009027885273098946,0.0010489312699064612,-0.1259031742811203,255.87,348,0.0003,-1.4081692695617676,7.3101952599999995,93842
14,95215,6602,0.013749944046139717,0.001054701511748135,-0.4416641891002655,258.2,352,0.0003,-1.5266419649124146,7.380872710000001,95114
14,96403,6680,0.0067961253225803375,0.0010401338804513216,-1.8553199768066406,261.26,356,0.0003,-1.5083003044128418,7.495328750000001,96302
14,97512,6756,0.0031699948012828827,0.0010804696939885616,-0.4303820729255676,260.25,360,0.0003,-1.4902276992797852,7.440187589999999,97411
14,98512,6825,0.009260754100978374,0.001093259546905756,1.5914560556411743,261.05,364,0.0003,-1.4762344360351562,7.48602127,98411
14,99331,6880,0.013555509969592094,0.001128671457991004,-0.3226194381713867,258.99,368,0.0003,-1.578357219696045,7.427785310000001,99230
