time/total_timesteps,train/actor_loss,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/learning_rate,train/critic_loss,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_rew_mean,train/n_updates
89951,-12.249324798583984,316.17,0.013832340016961098,3694,0.0003,0.812773585319519,1.497233271598816,24,272,63.004803550000005,89850
91011,-12.814312934875488,313.84,0.014210106804966927,3740,0.0003,1.1139559745788574,0.3415699005126953,24,276,62.91738394,90910
92278,-12.36383056640625,310.09,0.014122717082500458,3795,0.0003,0.8161305785179138,1.4372152090072632,24,280,62.184751639999995,92177
93622,-12.225613594055176,311.15,0.01478426344692707,3853,0.0003,0.6765533685684204,1.1736228466033936,24,284,62.55530730000001,93521
95049,-12.291772842407227,310.33,0.014592950232326984,3915,0.0003,0.2219778448343277,-0.2899512052536011,24,288,62.56356229,94948
96438,-12.589884757995605,312.32,0.01425163634121418,3976,0.0003,0.8086336851119995,0.40827491879463196,24,292,62.87830891000001,96337
97619,-12.607226371765137,309.93,0.013830987736582756,4027,0.0003,1.7580740451812744,-0.21662123501300812,24,296,62.06649953,97518
98713,-12.400045394897461,307.81,0.014716790989041328,4075,0.0003,0.9321703910827637,0.04916384071111679,24,300,60.908496160000006,98612
100131,-12.505268096923828,308.88,0.014409449882805347,4137,0.0003,0.18776968121528625,-0.9258418679237366,24,304,61.45506023,100030
101401,-12.294816970825195,308.17,0.014781197533011436,4192,0.0003,1.0453815460205078,2.0474910736083984,24,308,61.1466049,101300
103026,-12.479850769042969,307.43,0.01514824852347374,4263,0.0003,0.9117847681045532,-1.7377243041992188,24,312,60.170868039999995,102925
103940,-12.57122802734375,304.46,0.015271790325641632,4303,0.0003,0.7908970713615417,-0.6171049475669861,24,316,59.15020979000002,103839
105088,-12.462839126586914,302.58,0.015950530767440796,4353,0.0003,1.1809494495391846,-0.4276236891746521,24,320,58.82465682,104987
106247,-12.52474308013916,303.36,0.01535800565034151,4403,0.0003,0.304551362991333,-0.3564233183860779,24,324,59.375313180000006,106146
107528,-12.146964073181152,304.63,0.015361960977315903,4459,0.0003,1.100494146347046,-0.21967574954032898,24,328,60.04332277,107427
108867,-12.448402404785156,308.96,0.016149327158927917,4517,0.0003,1.7201347351074219,-0.7829773426055908,24,332,61.25855326999999,108766
