time/total_timesteps,time/time_elapsed,train/n_updates,train/ent_coef,train/ent_coef_loss,time/fps,time/episodes,rollout/ep_len_mean,train/actor_loss,rollout/ep_rew_mean,train/critic_loss,train/learning_rate
41489,840,41388,0.06470274180173874,0.6793739795684814,49,292,139.58,-40.98776626586914,191.0010879,13.815059661865234,0.0003
41927,848,41826,0.06486378610134125,-0.7702865600585938,49,296,137.91,-44.16973114013672,190.38183007000003,7.593009948730469,0.0003
42504,859,42403,0.06500381976366043,-0.9223511815071106,49,300,138.11,-41.17192840576172,189.38561394999996,6.932155132293701,0.0003
43005,868,42904,0.06580878794193268,-1.0278332233428955,49,304,138.09,-41.709659576416016,187.93835948,17.543663024902344,0.0003
43643,879,43542,0.06526684015989304,0.31017521023750305,49,308,139.23,-40.46280288696289,191.53887164999998,5.463815689086914,0.0003
44128,888,44027,0.06556461751461029,0.10830096155405045,49,312,139.16,-39.79467010498047,192.62108905000005,5.672469615936279,0.0003
44657,898,44556,0.06355860829353333,0.4368816018104553,49,316,139.73,-40.38151550292969,191.75901692,30.262351989746094,0.0003
45214,908,45113,0.06458275765180588,0.09698040038347244,49,320,140.1,-42.81388473510742,190.60267133000005,7.783306121826172,0.0003
45615,916,45514,0.06344792991876602,0.6155191659927368,49,324,138.89,-44.59033966064453,187.0518141,7.3916754722595215,0.0003
46223,927,46122,0.06281504034996033,0.7426667809486389,49,328,139.55,-44.541015625,188.19992667000005,19.637340545654297,0.0003
46695,936,46594,0.06399683654308319,-0.7538578510284424,49,332,137.38,-42.158714294433594,187.08828197,8.529129028320312,0.0003
47327,947,47226,0.06419514864683151,0.13351668417453766,49,336,137.62,-44.888160705566406,189.37714840999996,14.957374572753906,0.0003
47938,958,47837,0.06376189738512039,0.5980871915817261,49,340,137.96,-40.77627944946289,188.49793100999995,8.604316711425781,0.0003
48366,966,48265,0.06914262473583221,0.3763591945171356,50,344,136.81,-44.14881896972656,187.39246662999997,10.161542892456055,0.0003
49017,978,48916,0.0703461542725563,-0.05541834235191345,50,348,137.67,-41.067684173583984,194.52017197,12.251614570617676,0.0003
49407,985,49306,0.07295915484428406,-0.16342192888259888,50,352,136.11,-45.57280731201172,194.02222104,21.902055740356445,0.0003
49939,995,49838,0.07266393303871155,1.0662262439727783,50,356,135.68,-42.55083084106445,197.71803770999998,12.316299438476562,0.0003
50454,1005,50353,0.07292334735393524,-0.8512685298919678,50,360,135.14,-43.821250915527344,199.53819389,9.863016128540039,0.0003
50917,1013,50816,0.07627054303884506,-0.42763185501098633,50,364,134.01,-43.23281478881836,199.10999055999997,15.230189323425293,0.0003
51480,1024,51379,0.07508138567209244,-0.14855408668518066,50,368,133.76,-44.73583984375,198.38582913,13.153800964355469,0.0003
52054,1034,51953,0.06894847750663757,0.5070797204971313,50,372,133.49,-40.69438934326172,199.12324938,21.94824981689453,0.0003
52609,1044,52508,0.06771495938301086,-1.090059518814087,50,376,134.06,-40.67180252075195,198.48187787000003,14.747203826904297,0.0003
53155,1054,53054,0.0670957937836647,-1.1356879472732544,50,380,133.06,-43.920040130615234,197.65202396000004,14.627452850341797,0.0003
53684,1064,53583,0.06724674999713898,0.5637387037277222,50,384,132.92,-42.59423065185547,197.72240169999998,11.421784400939941,0.0003
54204,1075,54103,0.07095516473054886,0.38792815804481506,50,388,132.48,-40.45903015136719,198.56592811,19.183700561523438,0.0003
54745,1087,54644,0.06935522705316544,0.6123842597007751,50,392,132.56,-45.533973693847656,199.49554068,11.795530319213867,0.0003
55358,1100,55257,0.068379707634449,-0.6236569285392761,50,396,134.31,-43.20226287841797,204.47405069,11.571252822875977,0.0003
55928,1112,55827,0.06899609416723251,0.3172534704208374,50,400,134.24,-47.189292907714844,206.09901861999998,9.618640899658203,0.0003
56634,1127,56533,0.06956783682107925,-0.12064441293478012,50,404,136.29,-45.67295455932617,209.18055926999997,20.085542678833008,0.0003
57398,1143,57297,0.07287123799324036,-0.8029119968414307,50,408,137.55,-44.027427673339844,209.83082105000003,11.61412525177002,0.0003
57927,1155,57826,0.07217220962047577,-0.5673238039016724,50,412,137.99,-44.546058654785156,210.23641460000002,8.791604995727539,0.0003
58339,1163,58238,0.07049119472503662,1.427042007446289,50,416,136.82,-40.538536071777344,209.92608699000004,18.150596618652344,0.0003
58989,1177,58888,0.0734502524137497,-0.5852090120315552,50,420,137.75,-47.779056549072266,213.55234171,22.392070770263672,0.0003
59378,1186,59277,0.0724603608250618,0.4939645826816559,50,424,137.63,-47.99800109863281,214.8354611,34.148284912109375,0.0003
59985,1199,59884,0.07289814203977585,-0.5822846293449402,50,428,137.62,-43.82392501831055,216.94127369999998,19.814979553222656,0.0003
60379,1207,60278,0.07198376208543777,-0.22410985827445984,49,432,136.84,-47.65469741821289,215.42910058,9.90238094329834,0.0003
60910,1219,60809,0.07294311374425888,0.2039005309343338,49,436,135.83,-45.915855407714844,215.26096964999996,17.294248580932617,0.0003
61483,1231,61382,0.07489080727100372,-0.3463371992111206,49,440,135.45,-44.88142776489258,216.14428007000004,38.65137481689453,0.0003
62159,1246,62058,0.07671032100915909,-0.05975731462240219,49,444,137.93,-46.41209411621094,219.69579987999998,23.975086212158203,0.0003
62760,1258,62659,0.07667210698127747,0.17644503712654114,49,448,137.43,-45.13761901855469,215.51746478,8.691407203674316,0.0003
63262,1269,63161,0.07586992532014847,0.567408561706543,49,452,138.55,-46.642333984375,217.35681820999997,35.263160705566406,0.0003
63832,1282,63731,0.07581287622451782,0.04834817349910736,49,456,138.93,-46.255714416503906,216.16548641,42.72468566894531,0.0003
64307,1292,64206,0.0760071650147438,0.1941322684288025,49,460,138.53,-48.53009033203125,212.98595051000004,21.413501739501953,0.0003
64921,1305,64820,0.07847845554351807,-0.9176666736602783,49,464,140.04,-44.862186431884766,213.1533786,35.48185348510742,0.0003
65705,1322,65604,0.08060397207736969,0.33546140789985657,49,468,142.25,-48.542503356933594,214.08258523000003,12.16439437866211,0.0003
66187,1332,66086,0.08025970309972763,0.2814350128173828,49,472,141.33,-50.13984298706055,211.12284180999995,27.55615997314453,0.0003
66720,1344,66619,0.08025122433900833,0.44350048899650574,49,476,141.11,-48.235923767089844,211.40377995,18.49894905090332,0.0003
67373,1358,67272,0.08033698797225952,0.27709105610847473,49,480,142.18,-43.95358657836914,212.87216222000004,18.75945472717285,0.0003
67922,1370,67821,0.0775756761431694,1.310804843902588,49,484,142.38,-46.17756652832031,211.97434686,26.920549392700195,0.0003
68414,1380,68313,0.07902778685092926,0.48403802514076233,49,488,142.1,-45.9810676574707,210.34610340000003,28.48151969909668,0.0003
69096,1395,68995,0.08067963272333145,0.7380349040031433,49,492,143.51,-46.610443115234375,214.79153693000003,20.45207977294922,0.0003
69694,1408,69593,0.08288899809122086,-0.21460218727588654,49,496,143.36,-48.70010757446289,213.39532518000004,9.403188705444336,0.0003
70302,1421,70201,0.08095268160104752,-0.10693295300006866,49,500,143.74,-48.45869064331055,211.85796621,25.637630462646484,0.0003
70916,1434,70815,0.08195789158344269,-0.17344845831394196,49,504,142.82,-47.93753433227539,211.79214027,15.61661434173584,0.0003
71519,1447,71418,0.08164095133543015,0.12136024981737137,49,508,141.21,-49.08855056762695,210.94240882000003,24.255382537841797,0.0003
72122,1460,72021,0.08353390544652939,-0.032166704535484314,49,512,141.95,-48.62217712402344,210.37608152,14.202720642089844,0.0003
72648,1471,72547,0.08253864198923111,0.3414372205734253,49,516,143.09,-46.598426818847656,211.69592971000006,36.63636016845703,0.0003
73169,1482,73068,0.08471351861953735,0.01707439310848713,49,520,141.8,-46.372657775878906,207.98293870999996,19.62668228149414,0.0003
73812,1496,73711,0.08473493158817291,-0.5196252465248108,49,524,144.34,-46.11579513549805,211.04719898999997,25.316356658935547,0.0003
