train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,train/ent_coef,train/n_updates
-1.5893834829330444,-0.948636531829834,297.6,0.0003,9525,0.009542077779769897,8.18899234,10,95903,328,0.0015258054481819272,95802
-1.5091938972473145,0.32728442549705505,296.0,0.0003,9656,0.0230543315410614,8.10785006,10,97135,332,0.0014608886558562517,97034
-1.4776586294174194,-1.1484432220458984,298.06,0.0003,9818,0.007450610864907503,8.24554986,10,98653,336,0.0014236217830330133,98552
-1.4051403999328613,2.6376419067382812,297.25,0.0003,9931,0.011571886017918587,8.228257509999999,10,99712,340,0.0014565455494448543,99611
-1.5645452737808228,-1.9251585006713867,298.0,0.0003,10087,0.005701191257685423,8.222043189999999,10,101185,344,0.0013927757972851396,101084
-1.4848076105117798,-2.085117816925049,299.25,0.0003,10224,0.006372426636517048,8.278318840000003,10,102503,348,0.0014298527967184782,102402
-1.4814780950546265,0.05321356654167175,298.98,0.0003,10344,0.016769930720329285,8.30389332,10,103661,352,0.001434885896742344,103560
-1.483845829963684,-0.7649484872817993,299.24,0.0003,10477,0.00688217394053936,8.334238730000001,10,104935,356,0.0013865006621927023,104834
-1.5172080993652344,1.6698386669158936,299.27,0.0003,10618,0.005538588855415583,8.348156900000001,10,106280,360,0.0014062902191653848,106179
-1.4508730173110962,-0.6332278251647949,297.94,0.0003,10748,0.010285132564604282,8.37201265,10,107532,364,0.0013550219591706991,107431
-1.4742121696472168,1.028655767440796,293.7,0.0003,10841,0.009854496456682682,8.222681270000002,9,108407,368,0.0013173420447856188,108306
-1.4590232372283936,0.45797091722488403,292.81,0.0003,10961,0.019426986575126648,8.265963099999999,9,109564,372,0.0012899823486804962,109463
-1.454756736755371,-1.3133437633514404,293.5,0.0003,11078,0.008595505729317665,8.34882928,9,110680,376,0.0012856568209826946,110579
-1.4984712600708008,0.8405328989028931,293.38,0.0003,11207,0.011284638196229935,8.3717074,9,111920,380,0.0012744643026962876,111819
-1.4836862087249756,-0.17227502167224884,291.37,0.0003,11315,0.006485316902399063,8.334919100000002,9,112949,384,0.0012095338897779584,112848
-1.6068474054336548,0.18080689013004303,291.47,0.0003,11435,0.0031140127684921026,8.372830409999999,9,114111,388,0.001211161375977099,114010
-1.548065185546875,2.285351514816284,293.49,0.0003,11573,0.002376361982896924,8.46197503,9,115500,392,0.0013251352356746793,115399
-1.5417014360427856,0.7969002723693848,294.52,0.0003,11695,0.002235055435448885,8.52809696,9,116847,396,0.0012481011217460036,116746
-1.4885716438293457,0.7696297764778137,296.53,0.0003,11787,0.006297172047197819,8.57331411,9,117864,400,0.0011782653164118528,117763
-1.5524606704711914,1.6412826776504517,297.45,0.0003,11885,0.013935044407844543,8.61810345,10,118955,404,0.0012747080763801932,118854
-1.5469698905944824,-2.572650671005249,295.63,0.0003,11972,0.020775213837623596,8.53396708,10,119910,408,0.0013062030775472522,119809
-1.609763503074646,-1.8160781860351562,294.75,0.0003,12058,0.004203764721751213,8.47351273,10,120856,412,0.001238704309798777,120755
-1.5274657011032104,-1.3916609287261963,291.09,0.0003,12152,0.020754335448145866,8.283995299999999,10,121899,416,0.0012768451124429703,121798
-1.54298734664917,0.40058284997940063,290.77,0.0003,12233,0.0032178456895053387,8.236655039999999,10,122798,420,0.0012422343716025352,122697
-1.6306767463684082,1.6937175989151,288.87,0.0003,12327,0.010694604367017746,8.23980279,10,123839,424,0.001231594942510128,123738
-1.592345952987671,-3.3013792037963867,289.95,0.0003,12423,0.004264261573553085,8.271965269999999,10,124898,428,0.0012264079414308071,124797
-1.5790200233459473,1.0356099605560303,289.42,0.0003,12529,0.00435315677896142,8.27571542,10,126077,432,0.0011986983008682728,125976
-1.5450189113616943,-0.2342827022075653,283.45,0.0003,12612,0.00778946140781045,8.0759361,10,126998,436,0.0012061765883117914,126897
-1.5323903560638428,-0.6124070286750793,286.18,0.0003,12731,0.0039400095120072365,8.172033579999999,10,128330,440,0.0012285818811506033,128229
-1.5809907913208008,-1.2666780948638916,287.02,0.0003,12871,0.011958451941609383,8.29446214,10,129887,444,0.001198573037981987,129786
-1.5210204124450684,0.6235637664794922,285.12,0.0003,12973,0.001759408274665475,8.25188721,10,131015,448,0.0012437042314559221,130914
-1.5839728116989136,-0.25177717208862305,284.25,0.0003,13069,0.0039245858788490295,8.1766888,10,132086,452,0.0012887902557849884,131985
-1.5434775352478027,-0.3845306634902954,281.61,0.0003,13160,0.010488806292414665,8.087773199999999,10,133096,456,0.0012454971438273787,132995
