train/learning_rate,time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/critic_loss,time/time_elapsed
0.0003,75601,228,301.19,35.916896619999996,75500,19,0.007872373796999454,-6.8835062980651855,1.3573098182678223,0.2831437885761261,3901
0.0003,76664,232,300.65,35.78438544,76563,19,0.007992396131157875,-7.299334526062012,0.5652778148651123,0.27502578496932983,3959
0.0003,77887,236,300.83,35.69975811,77786,19,0.008299344219267368,-6.83674430847168,1.476912498474121,0.08222152292728424,4026
0.0003,79391,240,305.39,36.418034770000006,79290,19,0.00931489747017622,-7.034237861633301,0.19018250703811646,0.19368746876716614,4108
0.0003,81003,244,310.24,37.30844324,80902,19,0.009004966355860233,-6.70667028427124,1.495816946029663,0.32081520557403564,4197
0.0003,82232,248,310.43,37.32659408,82131,19,0.009118280373513699,-7.4742655754089355,-0.8013585805892944,0.3391161561012268,4264
0.0003,83288,252,307.08,36.96265309999999,83187,19,0.008973443880677223,-7.127465724945068,-0.15039768815040588,0.4756940007209778,4321
0.0003,84264,256,304.71,36.79308105,84163,19,0.008664919063448906,-6.858062267303467,1.0321779251098633,0.07983262091875076,4375
0.0003,85508,260,305.49,36.8517895,85407,19,0.00909185316413641,-6.868547439575195,1.1086511611938477,0.3043937683105469,4443
0.0003,86706,264,305.63,36.90094269,86605,19,0.00898542907088995,-7.078226566314697,-0.025265753269195557,0.11039364337921143,4508
0.0003,88187,268,309.73,37.640888770000004,88086,19,0.009109054692089558,-7.060550689697266,-0.2518782913684845,0.440216600894928,4590
0.0003,89634,272,310.5,37.664551949999996,89533,19,0.00935312919318676,-7.264430046081543,-1.757533073425293,0.13212963938713074,4668
0.0003,90867,276,312.39,37.97920061,90766,19,0.009464925155043602,-6.833115577697754,0.731593668460846,0.7239435315132141,4736
0.0003,91826,280,308.3,37.53964994,91725,19,0.00929673109203577,-6.892387866973877,0.035710811614990234,0.06871253252029419,4789
0.0003,93026,284,306.09,37.36205496,92925,19,0.009519265964627266,-6.967416763305664,0.34623369574546814,0.33850181102752686,4855
