time/total_timesteps,train/n_updates,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/actor_loss,time/episodes,train/critic_loss,train/learning_rate,time/time_elapsed
84925,84824,0.008169128559529781,-0.04162801802158356,312.26,18,35.708559650000005,-6.5111212730407715,256,0.043417952954769135,0.0003,4559
86328,86227,0.008459745906293392,-0.7467365264892578,313.8,18,35.83230755,-6.5458149909973145,260,0.06636864691972733,0.0003,4636
87589,87488,0.008504105731844902,0.7399210929870605,316.33,18,36.244595329999996,-6.213078022003174,264,0.24794988334178925,0.0003,4706
88831,88730,0.007895369082689285,-1.1741044521331787,315.24,18,35.91633115,-6.262040138244629,268,0.34147340059280396,0.0003,4775
90320,90219,0.007753188721835613,-0.860871434211731,316.85,18,35.91841584,-6.304418563842773,272,0.22694101929664612,0.0003,4857
91549,91448,0.007509916089475155,0.20821037888526917,316.78,18,35.98618334,-6.1942667961120605,276,0.1538621187210083,0.0003,4925
92638,92537,0.007675828877836466,-0.7180308103561401,313.14,18,35.27705745,-6.328717231750488,280,0.2962704300880432,0.0003,4985
93992,93891,0.007977862842381,-0.6121066212654114,312.75,18,35.508022069999996,-6.460957050323486,284,0.19372683763504028,0.0003,5060
95195,95094,0.007434494327753782,-0.47611162066459656,311.71,18,35.44621549,-6.336942672729492,288,0.044054530560970306,0.0003,5127
96667,96566,0.007411854807287455,-0.3846757411956787,317.07,18,36.12866462,-6.12874698638916,292,0.23813994228839874,0.0003,5208
98192,98091,0.0074808052740991116,0.39980563521385193,320.44,18,36.540437749999995,-6.233436107635498,296,0.0693923681974411,0.0003,5292
99566,99465,0.008095327764749527,0.03154706954956055,322.16,18,36.8967753,-6.39399528503418,300,0.08718021214008331,0.0003,5368
100971,100870,0.0073486752808094025,-0.5618117451667786,326.07,18,37.3913848,-6.4086785316467285,304,0.24980559945106506,0.0003,5447
101856,101755,0.007759886793792248,0.2394149750471115,315.88,18,36.34851831,-6.476463317871094,308,0.2109515368938446,0.0003,5495
102788,102687,0.0075845615938305855,-0.16338807344436646,314.57,18,36.08006468,-6.416330337524414,312,0.12516169250011444,0.0003,5546
104145,104044,0.007315786089748144,-0.3376057744026184,315.82,18,36.35449209,-6.624389171600342,316,0.060220275074243546,0.0003,5621
105309,105208,0.007488603703677654,1.833388090133667,314.55,18,36.19408979,-6.441409111022949,320,0.09644787758588791,0.0003,5685
106638,106537,0.007660738658159971,0.06921863555908203,318.21,18,36.57138809,-6.375236511230469,324,0.19082441926002502,0.0003,5759
107772,107671,0.008164926432073116,1.1743953227996826,317.67,18,36.51943284,-6.406162738800049,328,0.18717584013938904,0.0003,5821
109224,109123,0.008059365674853325,-0.8419060707092285,318.96,18,36.66258281,-6.223422050476074,332,0.2960908114910126,0.0003,5902
110650,110549,0.007245962042361498,0.8073220252990723,321.95,18,37.06202708,-6.250589370727539,336,0.09527942538261414,0.0003,5981
111801,111700,0.0078073530457913876,0.9671820998191833,321.06,18,37.131142759999996,-6.267844200134277,340,0.07280784845352173,0.0003,6044
112959,112858,0.008004692383110523,-0.7674874067306519,320.85,18,37.21708451000001,-6.404443740844727,344,0.15422993898391724,0.0003,6109
114137,114036,0.00799217913299799,-0.11795541644096375,320.36,18,37.67080204,-5.881180286407471,348,0.19164901971817017,0.0003,6174
115397,115296,0.008162365294992924,0.21461820602416992,319.52,18,38.05158743999999,-6.169388771057129,352,0.4898853600025177,0.0003,6244
116709,116608,0.008000907488167286,0.19519038498401642,317.84,18,38.01495393,-6.2462639808654785,356,0.2924143075942993,0.0003,6317
118100,117999,0.007748753298074007,1.0191528797149658,317.72,18,38.26809057,-5.989895820617676,360,0.29108762741088867,0.0003,6394
119205,119104,0.00807352364063263,-0.17908641695976257,316.16,18,38.01612498,-6.0249528884887695,364,0.2422405630350113,0.0003,6455
120256,120155,0.008439644239842892,-0.3545570373535156,314.25,18,37.825889450000005,-6.369732856750488,368,0.27196159958839417,0.0003,6513
121412,121311,0.007638659328222275,-1.1806174516677856,310.92,18,37.76713111000001,-6.282900810241699,372,0.23082974553108215,0.0003,6577
122562,122461,0.007720053195953369,1.6342395544052124,310.13,18,37.936571380000004,-6.2966461181640625,376,0.2714899480342865,0.0003,6641
123906,123805,0.007917081005871296,-0.6163710951805115,312.68,18,38.49527578,-6.635436058044434,380,0.15276548266410828,0.0003,6715
124939,124838,0.008307024836540222,-1.945270299911499,309.47,18,37.908567680000004,-6.403613567352295,384,0.061673156917095184,0.0003,6772
125871,125770,0.007802779320627451,-1.1531378030776978,306.76,18,37.49902592,-6.228750228881836,388,0.30807551741600037,0.0003,6823
