train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,time/episodes,train/learning_rate,train/ent_coef,train/critic_loss,rollout/ep_len_mean
-10.39731502532959,51.971946589999995,-0.43601125478744507,67061,24,66960,2790,188,0.0003,0.012277988716959953,0.6267483830451965,335.79
-10.486278533935547,53.03152506999999,-0.09780283272266388,68633,23,68532,2860,192,0.0003,0.012176667340099812,0.2172011435031891,338.54
-10.89070987701416,52.8847964,-0.6352640986442566,69967,23,69866,2920,196,0.0003,0.012370799668133259,0.33846813440322876,336.52
-10.286466598510742,53.54229703,0.4157581925392151,71343,23,71242,2981,200,0.0003,0.011463114991784096,0.49005287885665894,338.06
-10.647266387939453,54.02053272,-0.05385977774858475,72790,23,72689,3046,204,0.0003,0.012401913292706013,0.376944363117218,338.87
-10.442116737365723,53.690085580000016,-0.9083238840103149,73778,23,73677,3091,208,0.0003,0.012230856344103813,0.42020517587661743,337.33
-10.315779685974121,53.879352180000005,0.41036760807037354,74860,23,74759,3139,212,0.0003,0.011949779465794563,0.6477283239364624,337.63
-10.172134399414062,53.708626169999995,-0.15570925176143646,76369,23,76268,3207,216,0.0003,0.011974083259701729,0.28416919708251953,337.66
-10.101701736450195,53.83879463,-0.0811920240521431,77546,23,77445,3259,220,0.0003,0.011437579058110714,0.12752582132816315,336.02
-10.291543960571289,55.12482258,1.1861438751220703,78954,23,78853,3323,224,0.0003,0.011884588748216629,0.39277708530426025,338.73
-10.066385269165039,55.979918319999996,-0.49103665351867676,80415,23,80314,3388,228,0.0003,0.011440246365964413,0.13727805018424988,341.8
-10.303264617919922,55.544884700000004,-0.9700340032577515,81470,23,81369,3435,232,0.0003,0.011413776315748692,1.1872568130493164,339.96
-10.440811157226562,55.02971062000002,-1.349900484085083,82622,23,82521,3487,236,0.0003,0.011716922745108604,0.4129602313041687,336.16
-10.778646469116211,54.97512927,1.2840005159378052,83904,23,83803,3544,240,0.0003,0.01124322135001421,0.4625994861125946,334.55
-10.98025894165039,55.161224569999995,-0.3220010995864868,85387,23,85286,3610,244,0.0003,0.011608402244746685,0.465714693069458,333.94
-10.399778366088867,55.467877290000004,-0.5097627639770508,86627,23,86526,3665,248,0.0003,0.012060282751917839,2.1914517879486084,335.62
-10.68934154510498,55.70621,-0.9387170672416687,88146,23,88045,3733,252,0.0003,0.01194513589143753,0.2036704123020172,337.99
-10.348612785339355,55.52367702999999,1.144814133644104,89347,23,89246,3787,256,0.0003,0.011757314205169678,1.1240594387054443,336.44
-10.705347061157227,55.62622307000001,-0.7650977373123169,90374,23,90273,3833,260,0.0003,0.011379544623196125,1.207007646560669,336.93
-10.300771713256836,54.37444035999998,0.1609080582857132,91407,23,91306,3879,264,0.0003,0.011554768308997154,1.3556184768676758,331.99
-9.765069961547852,53.80156282000001,1.8087098598480225,92342,23,92241,3921,268,0.0003,0.011383202858269215,0.3712860345840454,328.8
-10.413698196411133,52.92316934999999,-1.2630648612976074,93352,23,93251,3966,272,0.0003,0.011459202505648136,0.6925308704376221,323.41
