train/ent_coef,time/total_timesteps,train/n_updates,time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/learning_rate,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss
0.012712420895695686,54326,54225,196,18,-9.19576358795166,254.64,0.0003,0.5618144869804382,2924,40.28734313,-1.9014726877212524
0.012662304565310478,55214,55113,200,18,-9.17283821105957,251.12,0.0003,1.004873514175415,2974,39.552230359999996,-1.1914311647415161
0.011823988519608974,56366,56265,204,18,-8.733268737792969,251.89,0.0003,1.0068988800048828,3038,39.95873307,-0.04197976738214493
0.011926201172173023,57343,57242,208,18,-8.592771530151367,250.99,0.0003,0.751888632774353,3093,39.718676110000004,0.8261377215385437
0.011999609880149364,58204,58103,212,18,-8.771198272705078,247.3,0.0003,0.39109480381011963,3139,39.09318368000001,-0.4409482479095459
0.011960513889789581,59080,58979,216,18,-8.728663444519043,242.44,0.0003,0.15163058042526245,3181,38.4400525,0.9571083784103394
0.01189604215323925,60110,60009,220,18,-8.056512832641602,242.03,0.0003,1.696149230003357,3231,38.48275013000001,-0.29536426067352295
0.01239610742777586,61269,61168,224,18,-8.479851722717285,244.15,0.0003,0.19464686512947083,3296,38.576091100000006,-0.08737730979919434
0.012331169098615646,62396,62295,228,18,-8.340065002441406,246.82,0.0003,0.613213062286377,3358,39.45726302,-0.22821786999702454
0.011743424460291862,63574,63473,232,18,-8.596874237060547,249.25,0.0003,0.4977954924106598,3424,39.628671749999995,0.2072628140449524
0.011971799656748772,64273,64172,236,18,-8.04640007019043,246.64,0.0003,0.19265416264533997,3463,39.01183850999999,0.9251238107681274
0.011845839209854603,64902,64801,240,18,-8.502070426940918,244.07,0.0003,1.2219865322113037,3497,38.55199833,-0.1417388916015625
0.012195843271911144,65741,65640,244,18,-8.64721965789795,240.76,0.0003,1.0035549402236938,3544,38.3268468,-0.7850041389465332
0.011641235090792179,66693,66592,248,18,-8.067749977111816,239.21,0.0003,1.111959457397461,3597,38.34563626999999,2.0296270847320557
0.011502225883305073,67626,67525,252,18,-7.831386566162109,239.72,0.0003,0.6392519474029541,3650,38.45598884,1.032729148864746
0.012609138153493404,68778,68677,256,18,-8.471481323242188,240.56,0.0003,0.16323602199554443,3714,38.81727094,0.3799988925457001
0.01180458627641201,69688,69587,260,18,-8.017621040344238,241.48,0.0003,0.36490362882614136,3765,39.05556334,-0.49172651767730713
0.01163436472415924,70462,70361,264,18,-8.177684783935547,239.21,0.0003,0.259798526763916,3808,38.547409720000005,1.4166569709777832
0.012791883200407028,71326,71225,268,18,-8.161703109741211,238.35,0.0003,0.6627289056777954,3856,37.87347441,0.34402042627334595
0.012110032141208649,72179,72078,272,18,-8.003912925720215,235.84,0.0003,0.250360369682312,3904,37.274007680000004,-0.30885201692581177
0.011905285529792309,73128,73027,276,18,-8.328351974487305,235.1,0.0003,0.23006784915924072,3956,37.19382232,-0.009459689259529114
0.012035970576107502,74189,74088,280,18,-7.765391826629639,235.05,0.0003,0.261740505695343,4015,36.961759400000005,0.08365808427333832
0.01158401183784008,75276,75175,284,18,-7.78632926940918,236.1,0.0003,0.5589472055435181,4076,36.93625533,0.48448440432548523
0.010717537254095078,76445,76344,288,18,-7.800687789916992,240.0,0.0003,0.39765816926956177,4141,37.85008465,0.6818757653236389
0.011443563736975193,77339,77238,292,18,-7.988952159881592,240.68,0.0003,0.1317533552646637,4190,38.305986559999994,-0.5647728443145752
0.012847406789660454,78016,77915,296,18,-8.04150104522705,236.9,0.0003,0.6376933455467224,4228,37.72573181,1.7557106018066406
0.011310824193060398,78995,78894,300,18,-7.522906303405762,237.81,0.0003,0.24972902238368988,4283,37.75814915,-1.3365719318389893
0.010203774087131023,79790,79689,304,18,-8.114459037780762,234.24,0.0003,0.3026009798049927,4327,37.147946180000005,-0.11661109328269958
0.009499155916273594,80919,80818,308,18,-8.228750228881836,235.76,0.0003,0.4694291651248932,4389,38.08746319,-0.8424592018127441
0.0101168192923069,81734,81633,312,18,-8.327923774719238,235.3,0.0003,1.3311563730239868,4434,38.128396900000006,0.35261833667755127
0.010732879862189293,82700,82599,316,18,-8.285469055175781,236.2,0.0003,0.2889506220817566,4488,38.76089105,0.27520132064819336
0.012345513328909874,83743,83642,320,18,-7.9238715171813965,236.33,0.0003,0.16167597472667694,4546,39.060863219999995,-0.383367657661438
0.012797679752111435,84680,84579,324,18,-8.061355590820312,234.11,0.0003,0.4346843957901001,4598,39.08649611,0.5267271995544434
0.013499677181243896,85613,85512,328,18,-7.734426498413086,232.17,0.0003,0.22267678380012512,4649,38.79624964999999,-1.5381882190704346
0.01243891753256321,86716,86615,332,18,-7.748936653137207,231.42,0.0003,0.8599580526351929,4711,39.13387742,0.10312618315219879
0.013185222633183002,87841,87740,336,18,-8.608543395996094,235.68,0.0003,1.5765604972839355,4773,40.21298836,-0.9898155331611633
0.01275558676570654,88851,88750,340,18,-7.759144306182861,239.49,0.0003,0.7351007461547852,4829,41.21669227,-0.11751944571733475
0.01327095553278923,89737,89636,344,18,-7.997969627380371,239.96,0.0003,0.16434715688228607,4878,41.343806640000004,-0.9471094012260437
0.01239795796573162,90846,90745,348,18,-8.07736873626709,241.53,0.0003,0.6439266204833984,4939,41.5634,1.2125310897827148
0.012156443670392036,91742,91641,352,18,-8.303571701049805,241.16,0.0003,0.3749273121356964,4989,41.55310105,-0.2016124129295349
0.012694787234067917,93145,93044,356,18,-8.062565803527832,243.67,0.0003,0.6705360412597656,5067,42.30067282000001,0.7248409986495972
0.01351014245301485,94351,94250,360,18,-8.821426391601562,246.63,0.0003,0.45987796783447266,5134,43.10821457,0.05553750693798065
0.013461328111588955,95374,95273,364,18,-8.627880096435547,249.12,0.0003,0.6704930663108826,5190,43.70697216000001,0.28648579120635986
0.013306116685271263,96387,96286,368,18,-8.815716743469238,250.61,0.0003,0.08689790964126587,5247,44.06771931,0.4147755801677704
0.013399490155279636,97259,97158,372,18,-8.80756950378418,250.8,0.0003,0.41918399930000305,5295,44.35220168,0.3403964638710022
0.01261358242481947,98415,98314,376,18,-8.716216087341309,252.87,0.0003,0.2972466051578522,5359,45.26878645,0.9317870140075684
0.012679385021328926,99629,99528,380,18,-8.783201217651367,254.4,0.0003,0.7073977589607239,5427,45.917250440000004,-0.8090846538543701
0.012563340365886688,100765,100664,384,18,-9.09994888305664,254.89,0.0003,0.27087241411209106,5489,46.3443962,-1.507322072982788
0.01204712688922882,101830,101729,388,18,-8.986730575561523,253.85,0.0003,0.9313914775848389,5548,46.27966079000001,-0.9163140058517456
0.011805655434727669,102945,102844,392,18,-8.879905700683594,256.06,0.0003,1.3008713722229004,5610,46.54948237999999,-1.0317456722259521
0.01124214380979538,104142,104041,396,18,-8.140538215637207,261.26,0.0003,0.22322550415992737,5676,47.74291673999999,0.0347365140914917
0.011362297460436821,105140,105039,400,18,-8.28276252746582,261.45,0.0003,0.584426760673523,5730,48.093732,-0.38037341833114624
0.010516803711652756,106423,106322,404,18,-8.625670433044434,266.33,0.0003,0.7234552502632141,5802,48.657030000000006,-0.5195828676223755
0.01072065532207489,107379,107278,408,18,-8.74064826965332,264.6,0.0003,0.28203749656677246,5854,47.85501449,0.7226788401603699
0.010422862134873867,108311,108210,412,18,-8.605020523071289,265.77,0.0003,0.4089716076850891,5906,48.511235510000006,-0.6141767501831055
0.010411377996206284,109838,109737,416,18,-8.636585235595703,271.38,0.0003,0.22677454352378845,5991,49.460349300000004,-0.19164220988750458
0.01020375918596983,110750,110649,420,18,-9.370635032653809,270.07,0.0003,0.9900504350662231,6041,49.106040949999986,-0.11970356106758118
0.010602128691971302,111942,111841,424,18,-9.209531784057617,272.62,0.0003,0.14579704403877258,6107,49.394735250000004,-0.5611733794212341
0.010753508657217026,113331,113230,428,18,-8.84926986694336,277.18,0.0003,0.13990271091461182,6184,50.11970592999999,-1.1983572244644165
0.010750745423138142,114769,114668,432,18,-8.394323348999023,280.53,0.0003,0.2528725564479828,6263,50.25716609999999,-0.2871702015399933
0.010607276111841202,115843,115742,436,18,-8.542403221130371,280.02,0.0003,0.5487555265426636,6323,50.187347849999995,1.1686782836914062
0.010632850229740143,117339,117238,440,18,-9.131437301635742,284.88,0.0003,0.9269024133682251,6406,51.199889049999996,0.04322587698698044
0.011178926564753056,118393,118292,444,18,-9.010929107666016,286.56,0.0003,0.24349161982536316,6464,51.72985522,-0.9463075995445251
0.011503476649522781,119746,119645,448,18,-9.326534271240234,289.0,0.0003,0.5656259059906006,6539,52.43311834000001,-0.7406463623046875
0.011185756884515285,121236,121135,452,18,-9.50261402130127,294.94,0.0003,0.31475383043289185,6621,53.61311126,0.5980321168899536
0.011714045889675617,123020,122919,456,18,-9.38534927368164,298.75,0.0003,0.5169863700866699,6720,53.84854812,0.8209853172302246
0.011063824407756329,124127,124026,460,18,-9.467836380004883,297.76,0.0003,0.4653342068195343,6780,53.40668991,-0.6672196388244629
0.010711973533034325,125210,125109,464,18,-9.306037902832031,298.36,0.0003,0.2274017035961151,6841,53.56860638,0.500318706035614
0.01044923160225153,126753,126652,468,18,-9.311323165893555,303.66,0.0003,0.270059734582901,6926,54.88738498999998,0.41456711292266846
0.010585090145468712,127838,127737,472,18,-9.823273658752441,305.79,0.0003,0.2002185881137848,6986,55.31618660000001,-0.6740511059761047
0.010892290621995926,129068,128967,476,18,-9.985417366027832,306.53,0.0003,0.3511175215244293,7054,55.2714378,-0.057341158390045166
0.010612810961902142,130541,130440,480,18,-9.491501808166504,309.12,0.0003,0.4298989176750183,7135,55.68249261999999,-0.259731650352478
0.010772529058158398,131412,131311,484,18,-9.200971603393555,306.47,0.0003,0.2656676173210144,7183,55.26658655999999,-0.4124983847141266
0.010678054764866829,132814,132713,488,18,-9.723687171936035,309.84,0.0003,0.2725156843662262,7260,55.82189118,-1.4139984846115112
0.011160689406096935,134170,134069,492,18,-9.384735107421875,312.25,0.0003,0.05463896691799164,7335,56.477440800000004,0.35038673877716064
0.010959858074784279,135325,135224,496,18,-9.200630187988281,311.83,0.0003,0.25029122829437256,7399,56.29923425999999,-0.37870270013809204
0.010706238448619843,136601,136500,500,18,-9.770393371582031,314.61,0.0003,0.26005664467811584,7469,56.53041897999999,0.7617987990379333
0.010566884651780128,137693,137592,504,18,-9.815208435058594,312.7,0.0003,0.35220932960510254,7530,56.205403419999996,0.41942745447158813
0.011322377249598503,138959,138858,508,18,-9.886612892150879,315.8,0.0003,0.7403364181518555,7597,57.07860072,0.34897321462631226
0.010851175524294376,139972,139871,512,18,-9.677362442016602,316.61,0.0003,0.3092482089996338,7648,56.975537370000005,0.012345023453235626
0.011007886379957199,141348,141247,516,18,-9.460417747497559,315.1,0.0003,0.13256430625915527,7717,56.81589933,-0.39241641759872437
0.01116958074271679,142470,142369,520,18,-9.619906425476074,317.2,0.0003,0.20710435509681702,7775,57.124317579999996,-0.49255314469337463
0.01115298643708229,143848,143747,524,18,-9.739206314086914,319.06,0.0003,0.17711949348449707,7846,57.67169156,0.5526226162910461
0.011007077991962433,145286,145185,528,18,-10.234587669372559,319.55,0.0003,0.3546485900878906,7921,57.59362887000001,-0.37769168615341187
0.010843675583600998,146202,146101,532,18,-9.744892120361328,314.33,0.0003,0.3880458474159241,7967,56.83353704000001,0.6318303346633911
0.0106052840128541,147111,147010,536,18,-9.201656341552734,312.68,0.0003,0.8592775464057922,8011,56.330829380000004,2.080502986907959
0.01080880407243967,148242,148141,540,18,-9.969651222229004,309.03,0.0003,0.3766747713088989,8071,55.39665322999999,-0.40853554010391235
0.010264534503221512,149603,149502,544,18,-10.02474594116211,312.1,0.0003,0.37273725867271423,8147,55.58051332,-1.747367024421692
0.010696135461330414,150572,150471,548,18,-9.741692543029785,308.26,0.0003,0.36889636516571045,8201,54.79756556,0.6673917770385742
0.010155050083994865,151533,151432,552,18,-9.72119140625,302.97,0.0003,1.1827290058135986,8256,53.72633422,0.6175082921981812
0.010338358581066132,153059,152958,556,18,-9.860505104064941,300.39,0.0003,0.3511154055595398,8336,53.28156543,-1.166849136352539
