rollout/ep_len_mean,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,time/total_timesteps,train/learning_rate,train/actor_loss
280.91,6033,0.19147974252700806,23.109806000000006,0.005682853050529957,22,464,136384,-0.4403703212738037,136485,0.0003,-4.7665886878967285
281.33,6083,0.04187257960438728,23.21429386,0.0054990556091070175,22,468,137470,1.5124030113220215,137571,0.0003,-4.559842586517334
282.6,6140,0.12599575519561768,23.379960200000006,0.005366992671042681,22,472,138730,0.037164270877838135,138831,0.0003,-4.613923072814941
287.89,6204,0.04612923413515091,24.17500298,0.005468633957207203,22,476,140359,-1.782529592514038,140460,0.0003,-4.540910243988037
286.44,6248,0.09651899337768555,24.072330560000005,0.005335838533937931,22,480,141502,-0.18740591406822205,141603,0.0003,-4.790667533874512
285.46,6284,0.13325071334838867,23.689268170000002,0.005385509226471186,22,484,142463,-0.09407299757003784,142564,0.0003,-4.72355318069458
284.28,6326,0.061308082193136215,23.46825498,0.005507263820618391,22,488,143593,1.6825318336486816,143694,0.0003,-4.642945766448975
288.0,6373,0.03897606581449509,24.04399786,0.005253354087471962,22,492,144859,-1.3478742837905884,144960,0.0003,-4.695592880249023
289.8,6417,0.23243281245231628,24.346501539999995,0.005275404080748558,22,496,146027,0.18737320601940155,146128,0.0003,-4.678312301635742
291.57,6466,0.11138363927602768,24.399963449999994,0.005241451319307089,22,500,147346,-1.175401210784912,147447,0.0003,-4.770867347717285
289.91,6502,0.31618762016296387,24.21350448,0.00509766535833478,22,504,148287,0.17586800456047058,148388,0.0003,-4.458892345428467
290.07,6560,0.20069247484207153,23.981705379999998,0.005949479062110186,22,508,149536,-0.3501357436180115,149637,0.0003,-4.673125743865967
289.12,6605,0.044663459062576294,23.933542749999997,0.005185398738831282,22,512,150516,0.8966876268386841,150617,0.0003,-4.349826335906982
283.28,6659,0.13606782257556915,23.26348546,0.005039006005972624,22,516,151695,-0.7145059704780579,151796,0.0003,-4.6019744873046875
281.59,6710,0.09145744144916534,22.963361699999997,0.005223128478974104,22,520,152822,-0.8167318105697632,152923,0.0003,-4.727438926696777
278.83,6749,0.14832377433776855,22.78460841,0.005303261335939169,22,524,153663,-1.2864893674850464,153764,0.0003,-4.890468597412109
280.62,6802,0.027212798595428467,22.96478903,0.005390236619859934,22,528,154845,0.8260573148727417,154946,0.0003,-4.331828594207764
283.24,6860,0.11405935883522034,23.3444673,0.005577113013714552,22,532,156111,0.28756365180015564,156212,0.0003,-4.707172393798828
283.86,6916,0.20012809336185455,23.623811400000005,0.0054936278611421585,22,536,157319,0.19520354270935059,157420,0.0003,-4.564764022827148
288.53,6973,0.3786771297454834,24.13964565,0.00530333211645484,22,540,158568,1.5483198165893555,158669,0.0003,-4.6599345207214355
290.03,7024,0.057960934937000275,24.420604960000002,0.0053556980565190315,22,544,159701,0.20097780227661133,159802,0.0003,-4.523469924926758
288.0,7075,0.0983375608921051,24.28972167,0.0061131976544857025,22,548,160779,-2.207385540008545,160880,0.0003,-4.967744827270508
289.86,7133,0.14999482035636902,24.505058739999996,0.004846133291721344,22,552,162035,-1.8267630338668823,162136,0.0003,-4.9247283935546875
286.52,7175,0.23416371643543243,23.97628685,0.00501336669549346,22,556,162940,2.979194402694702,163041,0.0003,-4.767382621765137
283.97,7218,0.16176103055477142,23.694164149999995,0.004975671414285898,22,560,163889,2.493725299835205,163990,0.0003,-4.679556846618652
288.64,7271,0.1872863471508026,23.947540309999994,0.004610718227922916,22,564,165248,-0.004568994045257568,165349,0.0003,-4.672449111938477
290.76,7321,0.06722798943519592,24.44679009,0.004785590339452028,22,568,166546,-0.5208886861801147,166647,0.0003,-4.80590295791626
293.24,7377,0.016412703320384026,24.693618689999994,0.005340152885764837,22,572,168054,-1.5328513383865356,168155,0.0003,-4.657049179077148
287.1,7415,0.1821456104516983,23.63641802,0.005212845280766487,22,576,169069,1.148442268371582,169170,0.0003,-4.9176859855651855
287.09,7458,0.15282320976257324,23.734717009999994,0.005418749060481787,22,580,170211,-2.51680326461792,170312,0.0003,-4.950883865356445
290.52,7506,0.19585177302360535,24.010340309999997,0.005217020399868488,22,584,171515,-3.982541799545288,171616,0.0003,-5.066250324249268
293.46,7563,0.18163664638996124,24.35164303,0.00508330762386322,22,588,172939,0.5285351276397705,173040,0.0003,-4.661741256713867
290.75,7609,0.10411863029003143,23.923935610000004,0.004921345971524715,22,592,173934,1.8976054191589355,174035,0.0003,-4.658230781555176
290.62,7661,0.29637324810028076,23.81535457,0.005153497215360403,22,596,175089,0.9486525654792786,175190,0.0003,-4.669566631317139
286.55,7703,0.05463011935353279,23.391019730000004,0.005187313072383404,22,600,176001,-0.3407731354236603,176102,0.0003,-4.81752347946167
290.43,7764,0.24176760017871857,23.59720212,0.005132649093866348,22,604,177330,-0.5161069631576538,177431,0.0003,-4.986186504364014
287.6,7808,0.049452245235443115,23.335723329999997,0.005068013910204172,22,608,178296,0.3146985173225403,178397,0.0003,-4.877557277679443
289.29,7860,0.21542447805404663,23.415835530000003,0.0051684570498764515,22,612,179445,-2.101593017578125,179546,0.0003,-4.92689847946167
290.18,7918,0.11738855391740799,23.555652799999997,0.005247145425528288,22,616,180713,1.3882741928100586,180814,0.0003,-4.4322004318237305
287.61,7958,0.05561213567852974,23.287331789999993,0.005300096236169338,22,620,181583,-1.0407978296279907,181684,0.0003,-4.871480941772461
290.98,8012,0.037998899817466736,23.554733309999996,0.005530664697289467,22,624,182761,0.5828491449356079,182862,0.0003,-4.643364429473877
293.01,8076,0.015635207295417786,23.79020755,0.0051646484062075615,22,628,184146,0.2493046522140503,184247,0.0003,-4.742387771606445
293.04,8135,0.02226526476442814,23.56910325999999,0.00515813147649169,22,632,185415,0.0901971384882927,185516,0.0003,-4.562659740447998
292.7,8189,0.1980299949645996,23.290453909999997,0.005263431463390589,22,636,186589,1.757867693901062,186690,0.0003,-4.571714401245117
296.59,8264,0.02093534544110298,23.664383199999993,0.005234003998339176,22,640,188227,-0.8152167201042175,188328,0.0003,-4.644192218780518
296.91,8318,0.2709864377975464,23.41294515,0.00497665349394083,22,644,189392,1.0274908542633057,189493,0.0003,-4.6792378425598145
295.62,8361,0.21663334965705872,23.266666089999998,0.005185314454138279,22,648,190341,0.2060007005929947,190442,0.0003,-4.709538459777832
293.83,8410,0.3687399625778198,23.240562559999997,0.005158832296729088,22,652,191418,2.697148323059082,191519,0.0003,-4.673101425170898
296.44,8463,0.38895300030708313,23.44364706,0.005175039172172546,22,656,192584,-1.0311543941497803,192685,0.0003,-4.827757835388184
298.56,8516,0.16611945629119873,23.63551571,0.005010819062590599,22,660,193745,0.1350260078907013,193846,0.0003,-4.639965057373047
295.53,8564,0.10792551934719086,23.60078513,0.005180907901376486,22,664,194801,1.9826123714447021,194902,0.0003,-4.665741443634033
292.1,8607,0.2698054313659668,23.049071360000003,0.005154317710548639,22,668,195756,-1.0804816484451294,195857,0.0003,-4.588311195373535
289.34,8664,0.07563111186027527,22.667027469999997,0.005221104249358177,22,672,196988,-0.7935197949409485,197089,0.0003,-4.7629241943359375
289.63,8712,0.19318486750125885,22.705487669999997,0.0051174829714000225,22,676,198032,-0.9786103367805481,198133,0.0003,-4.523538112640381
288.94,8762,0.06479167938232422,22.519759239999996,0.005220773164182901,22,680,199105,0.7822900414466858,199206,0.0003,-4.664836883544922
286.24,8810,0.09348056465387344,22.291763810000003,0.005016881972551346,22,684,200139,1.7357629537582397,200240,0.0003,-4.57014274597168
287.59,8882,0.2215396612882614,22.30292448,0.0048680733889341354,22,688,201698,-2.0339202880859375,201799,0.0003,-4.600032806396484
288.19,8931,0.04160506650805473,22.475587699999995,0.0045604645274579525,22,692,202753,-0.5497996211051941,202854,0.0003,-4.821493625640869
287.32,8981,0.1380593478679657,22.359450839999994,0.004962589591741562,22,696,203821,-0.15611231327056885,203922,0.0003,-4.7374091148376465
292.05,9045,0.12295478582382202,22.7313115,0.004902184940874577,22,700,205206,0.1803068369626999,205307,0.0003,-4.69137716293335
