train/ent_coef,time/total_timesteps,time/time_elapsed,train/actor_loss,train/critic_loss,train/n_updates,time/fps,train/learning_rate,train/ent_coef_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes
0.009310225956141949,123832,9104,-7.670589923858643,0.09558752179145813,123731,13,0.0003,1.7748914957046509,47.91646722,368.87,368
0.009447848424315453,125443,9221,-7.6618194580078125,0.3850867450237274,125342,13,0.0003,1.239794135093689,48.75957915000001,372.71,372
0.00951330829411745,127077,9342,-7.45851469039917,0.06910102814435959,126976,13,0.0003,-0.287426620721817,48.48971294,372.26,376
0.009628656320273876,128547,9450,-7.290680885314941,0.06400984525680542,128446,13,0.0003,1.5567158460617065,48.67051096,371.58,380
0.009331599809229374,130156,9556,-7.884292125701904,0.25779610872268677,130055,13,0.0003,1.0396920442581177,48.56150047999999,369.86,384
0.009495302103459835,131624,9659,-7.550485134124756,0.19034719467163086,131523,13,0.0003,0.13584084808826447,48.44488309999998,370.79,388
0.009206515736877918,133161,9767,-7.525240898132324,0.3541852831840515,133060,13,0.0003,0.15700244903564453,48.537221949999996,372.65,392
0.009432480670511723,134130,9840,-7.577960968017578,0.17181514203548431,134029,13,0.0003,-0.1913539469242096,47.808089739999986,368.59,396
0.009202535264194012,135777,9963,-7.481685638427734,0.16029095649719238,135676,13,0.0003,1.1249337196350098,48.24023116999999,369.76,400
0.009722081013023853,137417,10081,-7.6303582191467285,0.2998870611190796,137316,13,0.0003,-0.3974241316318512,47.930577269999986,369.19,404
0.00941080879420042,138620,10166,-7.814319610595703,0.4318150281906128,138519,13,0.0003,-1.2882845401763916,46.93669998,365.81,408
0.0092591792345047,140480,10304,-7.39274787902832,0.20226337015628815,140379,13,0.0003,-0.49529334902763367,46.94063843,367.02,412
0.008930663578212261,141863,10410,-7.943205833435059,0.14231273531913757,141762,13,0.0003,-1.348275065422058,47.12620495999999,368.77,416
0.008870710618793964,143063,10499,-8.0546236038208,0.4240635633468628,142962,13,0.0003,-1.5875626802444458,47.19402427999999,366.79,420
0.009361040778458118,144894,10633,-7.518436908721924,0.42190879583358765,144793,13,0.0003,-0.17534276843070984,48.333300390000005,372.78,424
0.009247544221580029,146175,10730,-7.664638996124268,0.10402032732963562,146074,13,0.0003,-1.1516461372375488,48.63597568,370.96,428
0.009059327654540539,147520,10832,-7.887301921844482,0.10113087296485901,147419,13,0.0003,-2.470296859741211,47.700999890000006,364.48,432
0.00924469530582428,149473,10975,-7.37706184387207,0.1188168078660965,149372,13,0.0003,1.2238891124725342,48.8952282,372.41,436
